Episode;Step;Action;Action type;Action duration;Reward
99000;1;4;Model;0.0024762675166130066;140.0
99000;2;6;Random;0.00028450414538383484;0.0
99000;3;0;Random;0.00025127455592155457;6.125
99000;4;1;Random;0.00026788562536239624;-10.5
99000;5;0;Random;0.0002444237470626831;6.125
99000;6;7;Random;0.00024506449699401855;35.0
99000;7;6;Random;0.00023806467652320862;13.125
99000;8;4;Model;0.0022670403122901917;151.5
99000;9;4;Random;0.0002719573676586151;176.25
99000;10;0;Random;0.0002524331212043762;23.75
99000;11;6;Random;0.00025222450494766235;35.0
99000;12;5;Random;0.00023550540208816528;-180.75
99000;13;0;Random;0.00023242086172103882;36.75
99000;14;4;Model;0.0023747868835926056;137.5
99000;15;2;Random;0.00025371089577674866;18.125
99000;16;4;Random;0.13233086839318275;147.5
99000;17;4;Model;0.0026281438767910004;-100.0
99000;18;4;Model;0.0024922192096710205;-100.0
99000;19;0;Random;0.00022941827774047852;-100.0
99000;20;4;Model;0.0022870153188705444;-100.0
99001;1;8;Random;0.00025200098752975464;0.0
99001;2;6;Random;0.000260278582572937;11.0
99001;3;4;Model;0.0024122484028339386;124.25
99001;4;2;Random;0.00025318562984466553;14.0
99001;5;4;Random;0.00026097148656845093;164.25
99001;6;5;Random;0.0002591833472251892;-191.625
99001;7;4;Model;0.002336796373128891;146.25
99001;8;4;Model;0.0023350492119789124;198.125
99001;9;2;Random;0.00025617703795433044;1.875
99001;10;4;Random;0.0006956607103347778;194.0
99001;11;4;Random;0.0003948882222175598;-100.0
99001;12;4;Model;0.13455984368920326;-100.0
99001;13;7;Random;0.00030600279569625854;-100.0
99001;14;6;Model;0.002724315971136093;-100.0
99001;15;2;Random;0.00022854655981063843;-100.0
99001;16;0;Random;0.00021527335047721863;-100.0
99001;17;4;Random;0.00021719187498092651;-100.0
99002;1;4;Model;0.002469528466463089;140.0
99002;2;4;Random;0.000262480229139328;180.0
99002;3;0;Random;0.0002493448555469513;0.0
99002;4;6;Random;0.00026093050837516785;12.75
99002;5;3;Random;0.0009440630674362183;-8.25
99002;6;4;Model;0.0023739784955978394;183.75
99002;7;0;Random;0.0002591945230960846;11.875
99002;8;4;Model;0.0022655166685581207;186.0
99002;9;6;Model;0.0023708343505859375;14.0
99002;10;6;Random;0.0002620965242385864;44.0
99002;11;4;Model;0.13668058812618256;-100.0
99002;12;4;Model;0.002449478954076767;-100.0
99002;13;0;Random;0.00026478618383407593;-100.0
99002;14;6;Random;0.00022565573453903198;-100.0
99002;15;2;Random;0.00022369250655174255;-100.0
99002;16;4;Random;0.00018805265426635742;-100.0
99003;1;9;Random;0.00023137778043746948;0.0
99003;2;4;Model;0.002475649118423462;135.625
99003;3;6;Random;0.00029736384749412537;0.0
99003;4;2;Random;0.00025296956300735474;6.125
99003;5;0;Random;0.00025599822402000427;7.875
99003;6;2;Random;0.00023071840405464172;14.0
99003;7;1;Random;0.00023422390222549438;-5.25
99003;8;6;Random;0.0002339594066143036;32.375
99003;9;4;Model;0.0023053474724292755;138.75
99003;10;2;Random;0.00039525702595710754;33.75
99003;11;7;Random;0.13107331842184067;-22.5
99003;12;7;Random;0.00035842135548591614;29.25
99003;13;4;Model;0.002440519630908966;148.75
99003;14;1;Random;0.00026334449648857117;-21.875
99003;15;4;Model;0.002178456634283066;187.5
99003;16;4;Model;0.0023438483476638794;-100.0
99003;17;2;Random;0.00022295117378234863;-100.0
99003;18;6;Model;0.0024726130068302155;-100.0
99003;19;4;Model;0.002183143049478531;-100.0
99003;20;4;Random;0.00022896379232406616;-100.0
99004;1;4;Model;0.0024873018264770508;140.0
99004;2;8;Random;0.00028934702277183533;0.0
99004;3;5;Random;0.00024583935737609863;-148.0
99004;4;4;Model;0.0027773454785346985;115.5
99004;5;4;Model;0.0025843940675258636;173.25
99004;6;2;Random;0.00027281418442726135;3.75
99004;7;4;Model;0.1336136981844902;192.5
99004;8;9;Random;0.0003418773412704468;0.0
99004;9;6;Random;0.0002450421452522278;-10.625
99004;10;4;Model;0.0026326440274715424;191.5
99004;11;6;Random;0.0003027021884918213;8.5
99004;12;4;Model;0.0025583580136299133;-100.0
99004;13;6;Model;0.0022708699107170105;-100.0
99004;14;7;Random;0.00022752583026885986;-100.0
99004;15;9;Random;0.000215090811252594;-100.0
99004;16;6;Model;0.002280149608850479;-100.0
99004;17;1;Random;0.00021894648671150208;-100.0
99004;18;5;Random;0.00024146214127540588;-120.0
99004;19;6;Model;0.002366427332162857;65.5
99004;20;6;Model;0.002266339957714081;118.0
99004;21;2;Random;0.00025894492864608765;75.5
99004;22;2;Random;0.0002359449863433838;76.0
99004;23;3;Random;0.1286000870168209;-81.5
99004;24;8;Random;0.00033388659358024597;48.5
99004;25;0;Random;0.00025168806314468384;22.5
99004;26;6;Model;0.002631131559610367;161.0
99004;27;7;Random;0.0002806149423122406;-6.5
99004;28;2;Random;0.0002426840364933014;71.5
99004;29;4;Model;0.002361610531806946;-100.0
99004;30;8;Random;0.0002345442771911621;-100.0
99004;31;4;Model;0.0026916004717350006;-100.0
99004;32;5;Random;0.00026915594935417175;-100.0
99004;33;0;Random;0.00021203607320785522;-100.0
99004;34;4;Model;0.0023558177053928375;-100.0
99004;35;5;Random;0.00025771185755729675;-100.0
99004;36;4;Random;0.00023803114891052246;-100.0
99004;37;3;Random;0.0002257712185382843;-100.0
99004;38;6;Model;0.002426721155643463;-100.0
99004;39;1;Random;0.1449895240366459;-100.0
99004;40;6;Model;0.002909976989030838;-100.0
99004;41;8;Random;0.0004066154360771179;-100.0
99004;42;1;Random;0.00038836896419525146;-100.0
99004;43;4;Model;0.0026268772780895233;-100.0
99005;1;9;Random;0.0005183853209018707;0.0
99005;2;4;Model;0.002762380987405777;135.625
99005;3;4;Model;0.0027898773550987244;180.0
99005;4;3;Random;0.0005217306315898895;0.0
99005;5;2;Random;0.0005345791578292847;-5.25
99005;6;3;Random;0.0005073174834251404;0.0
99005;7;5;Random;0.0005318820476531982;-152.25
99005;8;6;Random;0.0005380474030971527;-2.625
99005;9;8;Random;0.0006057806313037872;9.625
99005;10;4;Model;0.0027504228055477142;117.75
99005;11;3;Random;0.0003649219870567322;-24.75
99005;12;4;Model;0.12503217533230782;186.875
99005;13;4;Model;0.007489226758480072;200.0
99005;14;6;Model;0.001986321061849594;0.0
99005;15;0;Random;0.00028309598565101624;9.5
99005;16;6;Model;0.0020602531731128693;54.0
99005;17;9;Random;0.00023928657174110413;-64.5
99005;18;2;Random;0.0002322457730770111;21.0
99005;19;6;Model;0.0019406378269195557;83.0
99005;20;9;Random;0.00024062395095825195;-93.5
99005;21;6;Random;0.00023256242275238037;83.0
99005;22;2;Random;0.00023252516984939575;68.5
99005;23;1;Random;0.00023162364959716797;-27.5
99005;24;4;Random;0.00020011886954307556;-100.0
99005;25;6;Random;0.00026754289865493774;-100.0
99005;26;2;Random;0.00019923970103263855;-100.0
99005;27;8;Random;0.0001995861530303955;-100.0
99005;28;3;Random;0.1186106838285923;-100.0
99005;29;6;Model;0.002413719892501831;-100.0
99005;30;5;Random;0.00025488436222076416;-38.0
99005;31;1;Random;0.0002316609025001526;-12.5
99005;32;5;Random;0.0002305246889591217;71.875
99005;33;6;Model;0.0020344778895378113;99.375
99005;34;6;Model;0.001975521445274353;126.25
99005;35;6;Model;0.0019818320870399475;153.125
99005;36;2;Random;0.00024023652076721191;100.0
99005;37;6;Model;0.0019887536764144897;135.0
99005;38;8;Random;0.00023166462779045105;38.125
99005;39;6;Model;0.0019760839641094208;-232.5
99005;40;7;Random;0.00020806118845939636;265.625
99005;41;3;Random;0.00022501125931739807;-64.375
99005;42;6;Model;0.002022884786128998;111.25
99005;43;6;Model;0.002029731869697571;-227.5
99005;44;4;Random;0.12268823757767677;0.0
99005;45;5;Random;0.0002812519669532776;0.0
99005;46;4;Random;0.00018960610032081604;0.0
99005;47;5;Random;0.00029288604855537415;0.0
99005;48;6;Model;0.0024120397865772247;0.0
99005;49;8;Random;0.00019049644470214844;0.0
99005;50;8;Random;0.00019416585564613342;0.0
99005;51;6;Random;0.00018795952200889587;0.0
99006;1;1;Random;0.00022557377815246582;0.0
99006;2;4;Random;0.0002382323145866394;137.375
99006;3;4;Model;0.0022257454693317413;180.0
99006;4;4;Model;0.002172943204641342;200.0
99006;5;9;Random;0.0002356693148612976;0.0
99006;6;1;Random;0.0002410411834716797;9.375
99006;7;8;Random;0.0002688169479370117;20.625
99006;8;6;Random;0.00024387240409851074;-10.0
99006;9;4;Model;0.1272573061287403;167.5
99006;10;1;Random;0.0003296472132205963;12.0
99006;11;5;Random;0.00024163350462913513;-182.5
99006;12;9;Random;0.00023518502712249756;35.625
99006;13;0;Random;0.00024216249585151672;-54.375
99006;14;4;Model;0.0025358088314533234;130.0
99006;15;0;Random;0.00023499131202697754;-8.0
99006;16;9;Model;0.002262946218252182;27.5
99006;17;2;Random;0.0002357177436351776;-30.0
99006;18;9;Model;0.0027183927595615387;74.0
99006;19;9;Model;0.0022090524435043335;122.5
99006;20;2;Random;0.0002562031149864197;-53.5
99006;21;6;Random;0.00024383515119552612;-91.5
