Episode;Episode duration;Number of steps;Total reward
99000;0.1776140332221985;20;335.5
99001;0.1723920963704586;17;-37.875
99002;0.17431992292404175;16;164.125
99003;0.1788875348865986;20;184.375
99004;0.5240730494260788;43;-1003.125
99005;0.4991234466433525;51;704.25
99006;0.49572785943746567;51;-1973.875
99007;0.17416218668222427;15;18.0
99008;0.3380963169038296;38;-1048.625
99009;0.16227473691105843;15;399.625
99010;0.3037344664335251;20;80.625
99011;0.35199207067489624;38;1045.375
99012;0.35803158581256866;39;951.875
99013;0.31673426926136017;30;457.0
99014;0.6155712679028511;60;493.375
99015;0.6306451186537743;56;-2898.25
99016;0.3331433944404125;43;605.875
99017;0.31292230263352394;21;-828.0
99018;0.33934295549988747;33;-755.75
99019;0.3257302828133106;33;-78.5
99020;0.6592352837324142;66;1178.875
99021;0.4948217160999775;49;-3253.625
99022;0.3177829161286354;30;-635.5
99023;0.34667326509952545;42;780.625
99024;0.45432431995868683;36;-471.875
99025;0.3458438999950886;36;-1819.125
99026;0.47215592861175537;43;15.875
99027;0.18945277109742165;24;-896.875
99028;0.32704777270555496;27;-658.75
99029;0.19628260657191277;25;434.75
99030;0.33988431096076965;28;-131.0
99031;0.8259407095611095;77;2141.125
99032;0.5280163288116455;57;1023.625
99033;0.3359571695327759;26;-296.875
99034;0.1729510836303234;16;5.875
99035;0.3664325922727585;31;-1352.125
99036;0.3671391122043133;33;-126.625
99037;0.473941195756197;43;-1440.0
99038;0.17533959820866585;25;315.75
99039;0.4930947758257389;38;718.625
99040;0.4903705567121506;49;-2790.875
99041;0.18480897322297096;23;-725.5
99042;0.6168100982904434;56;1556.125
99043;0.3416200689971447;39;24.125
99044;0.47154630348086357;45;-2095.0
99045;0.164914321154356;17;325.5
99046;0.342226579785347;37;-1874.5
99047;1.0365799106657505;84;-870.0
99048;0.5627152733504772;57;1816.75
99049;0.3663314916193485;33;543.0
99050;0.5141006633639336;51;583.375
99051;0.6723782792687416;55;1995.625
99052;0.6743773780763149;59;281.0
99053;0.19628411158919334;20;-390.25
99054;0.3238370902836323;29;435.625
99055;0.5242436155676842;58;-1625.125
99056;0.30978231877088547;25;-993.75
99057;0.8565058521926403;83;63.125
99058;0.3342161737382412;36;-1788.25
99059;0.6666307859122753;67;262.5
99060;0.29698650538921356;18;-432.375
99061;0.32644493132829666;34;-366.625
99062;0.47442106902599335;49;-989.625
99063;0.17067993432283401;17;125.875
99064;0.6767809875309467;67;-3337.625
99065;0.17716316506266594;24;68.75
99066;0.45733514428138733;42;194.375
99067;0.499151773750782;47;-1831.0
99068;0.3464782238006592;37;-1514.0
99069;0.6281514205038548;51;-3668.75
99070;0.5416488200426102;63;2050.125
99071;0.3407204821705818;23;-573.0
99072;0.37986644729971886;32;810.25
99073;0.6677061729133129;59;459.75
99074;0.21236104145646095;25;-786.75
99075;0.3274526447057724;27;544.75
99076;0.3271959312260151;27;-950.625
99077;0.21224606037139893;27;-559.625
99078;0.4860922247171402;38;-1312.125
99079;0.3457291051745415;31;-526.75
99080;0.3340925946831703;38;-1721.625
99081;0.5281412973999977;52;-2975.5
99082;0.6617049984633923;55;-825.875
99083;0.17935694754123688;24;-262.0
99084;0.17509544640779495;15;42.125
99085;0.5104149207472801;45;1119.25
99086;0.5029743425548077;44;872.625
99087;0.5523889847099781;61;143.0
99088;0.47478725016117096;40;-951.375
99089;0.32946595922112465;34;1095.875
99090;0.32907646521925926;33;-1658.375
99091;0.8365018591284752;72;-4586.75
99092;0.36402393877506256;39;-1182.25
99093;0.3444542735815048;26;-869.875
99094;0.36617010459303856;41;-715.375
99095;0.3392154797911644;27;-843.5
99096;0.3558221273124218;35;923.625
99097;0.5109376311302185;41;123.875
99098;0.20526154711842537;27;-580.375
99099;0.7171590067446232;62;-350.125
99100;0.16105953976511955;13;211.5
99101;0.18152032792568207;22;-590.0
99102;1.3040161281824112;116;-4135.125
99103;0.5576131269335747;56;524.375
99104;0.34172214940190315;29;-66.875
99105;0.34241481870412827;35;-906.375
99106;0.3240894675254822;22;-365.125
99107;0.36031752079725266;39;939.625
99108;0.5002461075782776;42;-599.125
99109;0.18167996406555176;20;-77.625
99110;0.36779113858938217;34;-349.625
99111;0.35229499638080597;33;-386.625
99112;0.3159169852733612;24;259.75
99113;0.3389706425368786;32;714.875
99114;0.2076209895312786;31;-323.125
99115;0.3309442289173603;30;124.75
99116;0.17017273977398872;16;114.125
99117;0.3272380828857422;28;-1086.375
99118;0.5211043693125248;53;-1220.0
99119;0.3246059715747833;22;-36.625
99120;0.5372171550989151;59;444.875
99121;0.47491851449012756;33;-1524.5
99122;0.517298873513937;58;-3275.25
99123;0.33466561138629913;29;-914.5
99124;0.4783472791314125;44;-837.875
99125;0.5379414111375809;53;1406.5
99126;0.786338996142149;74;-2611.375
99127;0.16015654429793358;15;329.25
99128;0.17374011501669884;21;-225.0
99129;0.1678503006696701;22;-883.25
99130;0.44973208010196686;42;-296.0
99131;0.183547955006361;20;-593.5
99132;0.46898599714040756;45;-2910.125
99133;0.1621660590171814;16;25.625
99134;0.17003246769309044;13;312.0
99135;0.19269398227334023;16;-384.375
99136;0.17077185586094856;12;11.5
99137;0.057038117200136185;14;212.0
99138;0.18639133498072624;13;312.0
99139;0.19030723720788956;17;15.125
99140;0.17532587423920631;13;312.0
99141;0.1732361987233162;13;312.0
99142;0.5185217969119549;42;-2480.0
99143;0.04498888924717903;13;312.0
99144;0.18375204876065254;16;-291.25
99145;0.17387746274471283;14;31.25
99146;0.1829649992287159;15;220.0
99147;0.1837874874472618;14;212.0
99148;0.18797650933265686;13;312.0
99149;0.17291293293237686;13;170.0
99150;0.17424410581588745;14;168.75
99151;0.038634978234767914;12;20.0
99152;0.17010488733649254;13;312.0
99153;0.18860821425914764;15;65.5
99154;0.18013662844896317;16;141.0
99155;0.1751657873392105;15;-30.0
99156;0.18298837542533875;15;75.375
99157;0.17209212854504585;13;312.0
99158;0.17419174313545227;15;177.125
99159;0.04868167266249657;13;312.0
99160;0.17202606797218323;13;312.0
99161;0.5043742172420025;36;-2034.25
99162;0.04985058680176735;15;210.75
99163;0.1695973426103592;16;115.5
99164;0.3531276807188988;28;1054.0
99165;0.3342595361173153;21;-980.0
99166;0.05741154029965401;13;312.0
99167;0.16918113827705383;13;312.0
99168;0.18761291354894638;16;-58.0
99169;0.18170750886201859;18;-37.0
99170;0.17455323785543442;14;212.0
99171;0.17805824801325798;19;-106.0
99172;0.34158830717206;23;-728.625
99173;0.19116032868623734;20;-782.625
99174;0.1764059066772461;15;98.375
99175;0.1746426336467266;13;460.0
99176;0.1757514402270317;13;312.0
99177;0.04645763337612152;13;312.0
99178;0.16415869072079659;13;312.0
99179;0.16517894715070724;13;312.0
99180;0.1746026985347271;13;312.0
99181;0.18947834894061089;17;82.0
99182;0.17982446402311325;13;15.125
99183;0.1994846947491169;19;-684.375
99184;0.18670234456658363;15;112.0
99185;0.17949501797556877;13;312.0
99186;0.18033064529299736;16;-116.125
99187;0.1785418540239334;17;-390.75
99188;0.1736299693584442;15;178.875
99189;0.1905897594988346;17;-88.0
99190;0.1664552465081215;13;312.0
99191;0.049874208867549896;14;212.0
99192;0.32955485954880714;29;-1307.5
99193;0.16813528910279274;14;212.0
99194;0.177165936678648;13;312.0
99195;0.19137119129300117;17;-175.5
99196;0.17394348606467247;13;312.0
99197;0.18707267194986343;16;-16.0
99198;0.178701750934124;14;192.5
99199;0.17776979506015778;14;-85.125
